序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
141,23524556,健興化學有限公司,新竹市埔前里牛埔南路一四二巷八弄一二號,null,5000000,0781121,1030424
142,23567442,宬昇企業有限公司,臺南市永康區勝利里十八鄰中華一路三二四巷一號,null,1000000,0790109,1030409
143,23570925,?全有限公司,彰化縣和美鎮和西里道周路799巷32號,null,5000000,0790117,1030401
144,23610102,富仕得貿易有限公司,臺北市信義區吳興街600巷83弄1號5樓,null,5020000,0790111,1030430
145,23615583,大富電梯有限公司,臺北市大同區哈密街45巷1弄13號4樓,null,5000000,0790125,1030401
146,23622753,群逸建材股份有限公司,新北市中和區興南路1段56巷1弄1之3號4樓,null,31500000,0790221,1030421
147,23676574,德寶工業有限公司,新北市汐止區樟樹一路九九巷九弄一號五樓,null,1000000,0790312,1030403
148,23758293,慶展廣告事業有限公司,臺北市中山區復興北路514巷35號3樓,null,2000000,0790620,1030407
149,23799175,聖玹有限公司,新北市新莊區中和街一七五巷八號,null,5000000,0790630,1030411
150,23804590,南加洲家具有限公司,臺南市永康區甲頂里中正南路240號,null,3000000,0790710,1030409
151,23813958,村闐企業有限公司,新竹市光華一街四十號,null,2000000,0790724,1030410
152,23833814,路江企業有限公司,新北市蘆洲區仁愛街118巷6號1樓,null,5000000,0790815,1030409
153,23876989,隨利企業有限公司,臺中市北區建成里東光路412號1樓,null,5000000,0791105,1030428
154,23938417,亞爾達有限公司,臺北市大安區敦化南路2段26號13樓之1,null,8000000,0791119,1030403
155,23954318,江氏汽車有限公司,臺中市南區大慶街1段240號,null,4000000,0791217,1030401
156,23963999,玉新食品有限公司,南投縣名間鄉新街村彰南路564號,null,3000000,0800105,1030414
157,23965770,鴻穀有限公司,桃園縣八德鄉霄裡村龍宮街３４號,null,6000000,0800109,1030421
158,24207826,奇樂國際事業有限公司,臺中市東區東英里三賢街126號四樓,null,2000000,0970729,1030403
