序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
150,23501006,雄欽企業有限公司,臺中市沙鹿區埔子里屏西路古月巷二一號之四,,5000000,781006,1020329
151,23504030,竹村建設有限公司,新竹市龍山里惠民街27號,,500000,781012,1020329
152,23511481,智瀅企業股份有限公司,臺中市南區瑞豐街40號1樓,,6000000,781026,1020306
153,23511980,瑋晨工業股份有限公司,新北市鶯歌區鶯桃路91巷42弄24號2樓,,10000000,781027,1020319
154,23519147,源山紙器有限公司,新北市新莊區新莊路四九三巷四弄二一號三樓　,,1000000,,1020315
155,23557893,誠德塑膠工業股份有限公司,新北市泰山區泰林路二段二九二巷九號一樓,,5000000,790202,1020306
156,23576054,麒勝裝潢有限公司,新北市新莊區中信街４９號５樓,,5000000,790214,1020313
157,23591908,昱軒實業有限公司,新北市中和區捷運路一五五號,,1000000,781118,1020320
158,23594308,學美文具印刷有限公司,臺北市中山區建國北路2段186巷15號1樓,,2000000,781124,1020326
159,23645290,順力工程有限公司,高雄市三民區九如一路74巷8號,,5000000,790423,1020227
160,23645968,成來漁業股份有限公司,高雄市鼓山區鼓元街62號,,12000000,790428,1020305
161,23682983,美大立實業有限公司,臺中市西屯區何安里重慶路二五九號,,1000000,790321,1020311
162,23691110,廣群鋼鐵有限公司,臺中市太平區成功里東平路209號,,10000000,790403,1020308
163,23696749,吉信冷氣機電工程有限公司,桃園縣八德市大湳里和平路991巷58弄11號,,5000000,790411,1020328
164,23760592,玉晟有限公司,臺北市大安區青田街8之2號,,5000000,790626,1020322
165,23818644,笙榮實業有限公司,桃園縣中壢市西園路102巷16號,,3000000,790731,1020312
166,23819622,榮奕工業有限公司,新北市中和區福美路301巷11號,,1000000,790801,1020318
167,23879613,瑞智實業股份有限公司,新北市新莊區仁愛里福樂街156巷12弄18號4樓,,5000000,790727,1020314
168,23898098,至銓實業有限公司,桃園縣桃園市青溪里三民路一段167號9樓,,5000000,790915,1020319
169,23948169,佑勝有限公司,臺中市清水區西寧里中興街一一五號壹樓,,2000000,791206,1020314
170,23949060,旺達紙器企業有限公司,桃園縣龜山鄉山德村民安街64巷25弄23號,,5000000,791207,1020306
171,23993699,訊興企業有限公司,臺北市大安區建國南路2段11巷26號2樓,,3000000,791228,1020314
172,23996252,千特企業有限公司,新北市淡水區民族路八七號一樓,,5000000,800108,1020307
173,23997219,譜訊傳播有限公司,臺北市松山區光復北路100巷23號1樓,,3000000,800111,1020304
174,24200719,銓鈺實業有限公司,嘉義縣民雄鄉大崎村大丘園18之18號1樓,,1680000,970716,1020301
175,24204573,翊閎企業有限公司,高雄市大寮區內坑里崇恩路６３巷１１號,,1000000,970722,1020304
176,24208557,環亦科技股份有限公司,南投縣鹿谷鄉廣興村中正路一段82號1樓,,1000000,970730,1020329
177,24211390,鈺宸興業有限公司,桃園縣大園鄉三和路3巷1弄8號,,250000,970804,1020306
178,24229841,薇閣清潔服務有限公司,新竹縣竹北市鹿場里2鄰成功三路80號二樓,,2000000,970905,1020227
179,24231298,富華達科技股份有限公司,桃園縣桃園市新埔里新埔五街９１號６樓,,5000000,970909,1020307
180,24233465,友竣科技有限公司,彰化縣員林鎮民生里四平街２４巷８號,,300000,970912,1020306
181,24233599,金佳億服飾有限公司,新北市板橋區四川路2段245巷53-6號4樓,,2000000,970912,1020305
182,24234582,冠宇國際企業有限公司,臺中市北屯區遼陽六街60號,,8000000,970916,1020301
183,24240304,晶泳企業有限公司,新竹縣竹北市嘉政三街10號,,1200000,970926,1020321
184,24243371,易庫瑪有限公司,臺北市信義區基隆路1段333號19樓,,250000,971003,1020306
185,24243674,?鑫食品有限公司,臺中市烏日區螺潭里太明路成豐巷308-1號,,5000000,971003,1020329
186,24243908,藍金環保科技股份有限公司,新竹市新莊里長春街95號,,1100000,971006,1020301
187,24257493,歐金國貿有限公司,臺中市西區大同街266巷6號,,250000,971029,1020305
188,24269391,菉漾國際有限公司,彰化縣彰化市忠權里彰美路1段207巷24號1樓,,250000,971124,1020314
189,24272494,福仲生物科技股份有限公司,新北市樹林區柑園里學勤路266號6樓,,1000000,971128,1020319
190,24273022,周正股份有限公司,臺中市西區中美街626號7樓之1,,20000000,971201,1020328
191,24273830,惟伸企業有限公司,彰化縣彰化市古夷里泰和路3段26巷36號,,500000,971202,1020320
192,24275176,緻邦有限公司,新北市板橋區文化路1段319號,,500000,971204,1020304
193,24282606,芃勝工程有限公司,新北市蘆洲區忠義里長安街110號4樓,,5000000,971222,1020319
194,24284061,粉樂町國際事業有限公司,臺南市東區東寧路134巷51號1樓,,2000000,971224,1020311
195,24285998,金銘揚企業有限公司,臺中市南屯區文山里保安二街235之18號2樓,,2000000,971226,1020319
196,24288849,元丞工程有限公司,臺中市西屯區大聖街482號1樓,,3000000,980105,1020311
197,24290465,長合禮儀有限公司,新北市板橋區縣民大道1段64巷5弄3號2樓,,1000000,980108,1020304
198,24293028,巨宇騰實業有限公司,新北市三重區六張街127號,,1000000,980114,1020304
199,24296046,北金山開發實業有限公司,新北市蘆洲區中山一路42之1號,,5000000,980119,1020311
200,24316710,光融科技有限公司,臺北市內湖區內湖路1段737巷8弄3號,,1000000,971226,1020329
201,24316916,輝皇科技股份有限公司,臺北市松山區八德路3段182號3樓之10,,1000000,971229,1020307
202,24322017,台旺物業有限公司,臺北市中山區吉林路461巷14號1樓,,1000000,980123,1020312
203,24328856,永冀電子實業有限公司,新北市深坑區北深路3段153號4樓,,3000000,980305,1020329
204,24331000,綠勝國際貿易股份有限公司,臺北市士林區中山北路7段14巷36之1號,,1000000,980313,1020326
205,24345362,新凡間餐飲事業有限公司,臺北市松山區敦化南路1段7號1樓,,1000000,980511,1020326
206,24346051,信捷投資股份有限公司,臺北市信義區松德路159號11樓之1,,6000000,980513,1020319
207,24347468,和翔都市更新股份有限公司,臺北市萬華區漢中街131號9樓之3,,1000000,980519,1020305
208,24347761,策博顧問有限公司,臺北市中山區北安路476巷26號1樓,,1000000,980519,1020301
209,24349249,輝盟有限公司,臺北市大同區南京西路107巷21號,,500000,980525,1020311
210,24352124,峻強工程有限公司,新北市泰山區民生路17巷23號,,500000,980210,1020329
211,24352270,旭順貿易有限公司,桃園縣龜山鄉文化三路81巷1號7樓之6,,250000,980210,1020315
212,24355852,伸宇營造有限公司,苗栗縣頭份鎮忠孝里6鄰長安街70號4樓,,3000000,980218,1020307
213,24358035,台灣恩能發展生物技術有限公司,臺南市東區莊敬路136巷10號,,250000,980223,1020306
214,24361453,金海登有限公司,臺南市歸仁區後市里文化五街25號,,250000,980227,1020305
215,24368646,瀚統實業有限公司,臺中市潭子區得天街69巷17弄2號4樓,,2000000,980312,1020227
216,24371179,全奈米國際有限公司,新北市板橋區文化路二段327號5樓,,5000000,980317,1020312
217,24372228,巧棠企業有限公司,新北市中和區積穗里中山路2段485之2號,,5000000,980318,1020306
218,24372846,佑宇貿易有限公司,臺中市北區明德里忠明路211號8樓之3,,500000,980319,1020320
219,24373710,蔡興有限公司,彰化縣員林鎮三多里永安街143號1樓,,500000,980320,1020307
220,24380917,香榮企業股份有限公司,臺北市大同區承德路1段77之1號8樓之1,,1200000,980402,1020306
221,24381802,珍寶齋藝品有限公司,新竹縣竹東鎮中豐路三段233號,,1000000,980403,1020320
222,24384619,民錦機械有限公司,高雄市大社區三奶里新興路60號,,500000,980408,1020313
223,24385960,巧枋洗鞋有限公司,新北市汐止區康福里福德一路101之1號1樓,,1000000,980410,1020312
224,24387799,永立智慧財產有限公司,臺中市大里區大明路516號3樓之3,,800000,980414,1020312
225,24388208,翊群興業有限公司,桃園縣桃園市大林里榮華街64巷46-1號5樓,,1000000,980415,1020326
226,24392358,天心岩食品有限公司,臺南市南區中華西路一段312號,,5000000,980422,1020313
227,24397918,聯弘國際有限公司,新北市瑞芳區中山路236之1號,,500000,980430,1020325
228,24402519,潔興環保有限公司,臺中市龍井區山腳里沙田路6段東巷83號1樓,,1080000,980508,1020327
229,24402721,領亞通信有限公司,新北市板橋區黃石里北門街52-1號,,100000,980508,1020322
230,24406698,艾迪爾國際媒體有限公司,新北市中和區秀福里秀朗路3段10巷14弄62號4樓,,250000,980518,1020319
231,24410068,久暘光電科技有限公司,新竹縣竹北市縣政九路56號4樓之6,,500000,980521,1020328
232,24413038,昇立諮訊有限公司,臺中市北屯區大坑里東山路二段92-5號1樓,,250000,980526,1020327
233,24414064,鴻德傢俱有限公司,高雄市鳳山區文華里文化路10之1號4樓,,1000000,980527,1020226
234,24417506,信廣源有限公司,新北市板橋區中山路2段255巷4號1樓,,1000000,980604,1020304
235,24417999,嘉元生技有限公司,彰化縣福興鄉福南村沿海路4段366巷11號,,100000,980605,1020311
236,24418441,米賀平面攝影有限公司,臺中市潭子區得福街82巷22號1樓,,50000,980605,1020329
237,24419716,貳拾壹世紀電信事業有限公司,桃園縣桃園市大有路146號,,1000000,980608,1020328
238,24424008,希凱實業有限公司,新北市中和區景平路410號,,500000,980616,1020328
239,24425479,夢天地電子遊戲場業有限公司,臺中市西區台中港路一段299號17樓,,1000000,980617,1020319
240,24425891,山雲科技有限公司,新北市新店區僑信路126巷14號,,250000,980618,1020311
241,24431839,春錫企業有限公司,高雄市美濃區忠孝路二段20巷1號1樓,,300000,980626,1020306
242,24432485,尚宜塑膠有限公司,彰化縣埔鹽鄉打廉村7鄰埔打路37號之1,,5000000,980629,1020325
243,24435743,承洧貿易有限公司,臺中市西區大忠里大忠南街77號9樓之2,,250000,980702,1020319
244,24436692,杉冠國際有限公司,臺中市大里區夏田里中投西路三段286之16號,,500000,980703,1020329
245,24437138,鑫塑塑膠股份有限公司,新北市新莊區新樹路52號,,1000000,980706,1020327
246,24437860,異博興業有限公司,新竹縣新埔鎮文山里文山路亞東段280號1樓,,2000000,980707,1020319
247,24440350,亨元富有限公司,臺南市永康區永大一路108巷23號10樓之2,,1000000,980709,1020328
248,24440577,同步服飾有限公司,新北市中和區中和路420號1樓,,1000000,980710,1020311
249,24443841,松豐貿易有限公司,臺南市中西區藥王里民權路三段400巷18號9樓,,800000,980716,1020326
250,24456649,日綜貿易有限公司,臺北市中山區復興北路50號4樓,,1000000,980820,1020305
251,24457372,鼎鑫發管理顧問有限公司,臺北市信義區忠孝東路5段623號7樓,,1000000,980821,1020325
252,24459759,金加樂有限公司,臺北市大安區安和路2段177號2樓,,250000,980831,1020328
